date,syn_a,syn_b
2024-07-26,215.6148,95.3536
2024-07-29,216.1642,95.3866
2024-07-30,212.578,94.6797
2024-07-31,208.8273,94.359
2024-08-01,208.7193,93.798
2024-08-02,208.7095,93.825
2024-08-05,208.4777,93.4572
2024-08-06,204.775,93.168
2024-08-07,201.2129,91.7842
2024-08-08,198.5751,90.9914
2024-08-09,201.0495,92.6806
2024-08-12,195.8508,92.0172
2024-08-13,193.4857,90.9746
2024-08-14,196.4613,91.3311
2024-08-15,200.801,92.7744
2024-08-16,196.8441,91.3207
2024-08-19,196.8016,91.1297
2024-08-20,197.1832,90.5164
2024-08-21,188.6631,88.7976
2024-08-22,190.65,89.5363
2024-08-23,192.1593,89.5311
2024-08-26,194.0359,89.6194
2024-08-27,195.8406,88.8986
2024-08-28,199.0643,89.3623
2024-08-29,198.5026,88.8515
2024-08-30,198.7548,88.7297
2024-09-02,197.7613,87.6721
2024-09-03,194.0977,86.5244
2024-09-04,196.8537,87.8225
2024-09-05,197.3758,87.3514
2024-09-06,201.4116,87.6497
2024-09-09,200.7363,87.6346
2024-09-10,199.4253,87.2278
2024-09-11,198.4449,86.7592
2024-09-12,201.9512,87.38
2024-09-13,200.8659,87.1078
2024-09-16,202.8313,86.9802
2024-09-17,200.6478,87.0189
2024-09-18,202.4867,88.17
2024-09-19,203.2973,88.8502
2024-09-20,205.281,89.2428
2024-09-23,205.5979,88.709
2024-09-24,199.4704,87.3882
2024-09-25,199.6355,88.3234
2024-09-26,202.2287,89.2852
2024-09-27,200.5896,89.1649
2024-09-30,198.9753,89.7159
2024-10-01,202.68,90.5085
2024-10-02,205.4155,91.3581
2024-10-03,208.321,92.3072
2024-10-04,206.3306,91.8641
2024-10-07,211.5813,93.4265
2024-10-08,208.1604,92.1726
2024-10-09,211.9787,93.0691
2024-10-10,211.2466,93.5948
2024-10-11,211.6175,94.5175
2024-10-14,216.3832,96.5107
2024-10-15,218.639,98.1192
2024-10-16,217.1709,96.9103
2024-10-17,213.6422,95.1458
2024-10-18,213.8534,96.0238
2024-10-21,211.6681,94.9767
2024-10-22,211.0593,94.9827
2024-10-23,214.7639,95.8833
2024-10-24,209.7808,94.184
2024-10-25,204.2291,92.0416
2024-10-28,207.1005,92.3229
2024-10-29,211.2007,92.3865
2024-10-30,213.9751,92.1555
2024-10-31,213.7113,92.213
2024-11-01,211.726,91.3625
2024-11-04,210.6848,89.872
2024-11-05,209.5196,89.7254
2024-11-06,205.1104,88.7892
2024-11-07,201.3872,87.2159
2024-11-08,202.9124,87.7199
2024-11-11,200.8913,87.6782
2024-11-12,198.5238,88.0888
2024-11-13,193.727,87.1528
2024-11-14,193.6009,86.5415
2024-11-15,190.1297,85.6128
2024-11-18,188.109,84.7988
2024-11-19,188.9981,84.9983
2024-11-20,188.5593,84.2862
2024-11-21,188.698,84.6339
2024-11-22,190.3445,84.9678
2024-11-25,193.0003,86.8993
2024-11-26,189.4898,85.5952
2024-11-27,189.6435,86.4526
2024-11-28,191.7203,86.3848
2024-11-29,191.7375,86.3887
2024-12-02,187.4527,85.0389
2024-12-03,186.0315,84.6264
2024-12-04,187.383,85.3381
2024-12-05,188.6867,85.2778
2024-12-06,186.1133,85.371
2024-12-09,183.9342,85.1154
2024-12-10,186.0729,86.2205
2024-12-11,190.9981,86.2174
2024-12-12,188.2353,84.1724
2024-12-13,186.6184,83.5508
2024-12-16,183.9281,81.7772
2024-12-17,181.1664,78.9198
2024-12-18,179.4486,78.4766
2024-12-19,181.1463,79.6522
2024-12-20,183.2461,79.7095
2024-12-23,181.5646,78.7037
2024-12-24,180.6393,77.9091
2024-12-25,181.522,78.8999
2024-12-26,184.9936,79.0526
2024-12-27,187.6788,79.1102
2024-12-30,187.9551,79.0795
2024-12-31,188.6021,79.1287
2025-01-01,185.8324,79.8488
2025-01-02,187.6376,80.3517
2025-01-03,187.2446,80.5587
2025-01-06,185.5578,79.6558
2025-01-07,187.35,80.1209
2025-01-08,184.9123,79.536
2025-01-09,183.6018,80.5149
2025-01-10,181.5648,79.4129
2025-01-13,179.7312,79.3086
2025-01-14,178.9874,79.3181
2025-01-15,175.2505,78.1863
2025-01-16,177.9541,79.6974
2025-01-17,176.6999,81.0042
2025-01-20,178.2457,80.6083
2025-01-21,180.3632,81.3117
2025-01-22,183.2169,81.6675
2025-01-23,181.5899,79.3689
2025-01-24,181.8804,79.6037
2025-01-27,178.2918,79.566
2025-01-28,176.8312,79.6548
2025-01-29,172.6516,78.7325
2025-01-30,171.441,78.5153
2025-01-31,171.497,78.3772
2025-02-03,170.4271,79.4241
2025-02-04,172.1352,79.7327
2025-02-05,169.7833,79.7438
2025-02-06,173.856,81.1126
2025-02-07,173.0168,80.6348
2025-02-10,172.1291,80.3062
2025-02-11,168.908,78.733
2025-02-12,171.4313,80.1197
2025-02-13,172.7067,80.9903
2025-02-14,172.0213,81.8276
2025-02-17,173.9818,82.4484
2025-02-18,178.1582,82.5649
2025-02-19,182.5567,82.7774
2025-02-20,184.5859,82.5648
2025-02-21,185.4552,82.3965
2025-02-24,184.2834,82.4623
2025-02-25,189.9804,83.8619
2025-02-26,190.8878,84.3929
2025-02-27,190.521,84.3555
2025-02-28,188.6964,83.8364
2025-03-03,187.495,83.2695
2025-03-04,189.9465,84.7675
2025-03-05,190.8376,85.2583
2025-03-06,189.0241,85.3387
2025-03-07,187.7449,85.0314
2025-03-10,189.7023,84.0171
2025-03-11,189.338,83.9722
2025-03-12,190.6321,84.8
2025-03-13,190.7235,84.4515
2025-03-14,191.4236,84.2575
2025-03-17,188.7902,84.0697
2025-03-18,188.6042,84.188
2025-03-19,186.9824,82.7421
2025-03-20,186.8817,82.5447
2025-03-21,185.249,81.7889
2025-03-24,189.6972,82.6051
2025-03-25,186.6313,81.9243
2025-03-26,187.7461,82.4624
2025-03-27,189.7283,83.8737
2025-03-28,191.6445,83.6015
2025-03-31,186.6276,83.0668
2025-04-01,185.7677,83.2585
2025-04-02,184.8442,83.2733
2025-04-03,184.1096,82.3846
2025-04-04,186.1503,82.8199
2025-04-07,192.7549,84.6935
2025-04-08,189.1924,84.4703
2025-04-09,190.1135,84.2988
2025-04-10,187.3484,83.3521
2025-04-11,186.7549,83.6619
2025-04-14,185.2116,82.5387
2025-04-15,181.2967,81.5561
2025-04-16,180.2101,82.7288
2025-04-17,178.0101,81.9253
2025-04-18,177.8205,82.9222
2025-04-21,180.2452,84.3412
2025-04-22,181.9613,84.599
2025-04-23,184.1167,85.1326
2025-04-24,191.4794,86.998
2025-04-25,190.8929,86.8273
2025-04-28,187.0783,86.28
2025-04-29,183.2335,85.0222
2025-04-30,182.0876,85.0782
2025-05-01,183.5071,86.4911
2025-05-02,186.941,87.4264
2025-05-05,184.2911,86.5424
2025-05-06,179.4864,85.749
2025-05-07,180.4273,85.2919
2025-05-08,181.4659,85.5836
2025-05-09,182.2809,85.4076
2025-05-12,183.452,85.6265
2025-05-13,185.7035,85.9236
2025-05-14,185.5378,85.6588
2025-05-15,188.0476,85.6381
2025-05-16,189.463,85.8501
2025-05-19,190.1513,85.788
2025-05-20,192.0617,86.2817
2025-05-21,193.5033,88.0934
2025-05-22,194.7089,88.6866
2025-05-23,194.5891,88.7589
2025-05-26,191.5664,87.1452
2025-05-27,190.1591,87.5354
2025-05-28,189.3073,85.698
2025-05-29,186.7031,84.3969
2025-05-30,186.4309,85.2111
2025-06-02,185.0928,85.8928
2025-06-03,184.698,85.7684
2025-06-04,181.4054,84.187
2025-06-05,179.7664,83.8606
2025-06-06,179.0146,83.2535
2025-06-09,179.6037,83.8555
2025-06-10,185.7838,85.9813
2025-06-11,185.3355,86.204
2025-06-12,184.0792,85.4852
2025-06-13,183.8347,84.4085
2025-06-16,188.651,84.3733
2025-06-17,186.4813,84.2262
2025-06-18,183.4004,83.1827
2025-06-19,182.2913,83.3059
2025-06-20,181.6131,82.2743
2025-06-23,181.9558,83.3036
2025-06-24,183.5369,84.3
2025-06-25,186.0478,85.3289
2025-06-26,183.5904,84.9021
2025-06-27,183.3266,85.4011
2025-06-30,182.6611,85.2942
2025-07-01,178.561,84.9471
2025-07-02,175.9457,84.6478
2025-07-03,173.3306,83.4629
2025-07-04,171.4703,82.1642
2025-07-07,173.4885,82.9018
2025-07-08,170.6286,82.7441
2025-07-09,171.1061,82.9579
2025-07-10,175.4662,83.8939
2025-07-11,173.6691,82.3261
2025-07-14,172.5838,81.6354
2025-07-15,171.9443,81.8093
2025-07-16,174.5372,82.1794
2025-07-17,173.2983,81.8556
2025-07-18,173.8655,82.8041
2025-07-21,173.5358,83.0126
2025-07-22,174.4215,81.9283
2025-07-23,173.4913,81.11
2025-07-24,177.6694,81.8482
2025-07-25,178.0702,82.2833
2025-07-28,176.3281,80.5984
2025-07-29,178.1731,81.8185
2025-07-30,179.3898,82.375
2025-07-31,186.8979,83.618
2025-08-01,187.5067,83.2825
2025-08-04,185.9332,83.0286
2025-08-05,183.4918,82.0226
2025-08-06,189.2609,84.3606
2025-08-07,191.0483,84.2148
2025-08-08,193.322,85.7155
2025-08-11,188.7407,85.1244
2025-08-12,188.6851,85.295
2025-08-13,185.378,83.7579
2025-08-14,184.9134,83.4226
2025-08-15,189.4146,84.3471
2025-08-18,187.3719,83.2103
2025-08-19,190.9679,84.2144
2025-08-20,189.5335,84.5443
2025-08-21,188.922,83.5957
2025-08-22,191.5582,83.1523
2025-08-25,191.6864,82.75
2025-08-26,191.652,82.7215
2025-08-27,190.4519,82.2516
2025-08-28,191.6234,81.5228
2025-08-29,188.7948,81.2663
2025-09-01,186.1424,80.3696
2025-09-02,184.0682,79.2535
2025-09-03,184.911,79.2273
2025-09-04,185.3919,80.0165
2025-09-05,182.5875,78.6974
2025-09-08,181.7055,78.7161
2025-09-09,180.3382,78.171
2025-09-10,177.9118,77.3507
2025-09-11,177.1957,78.0959
2025-09-12,176.0217,77.6676
2025-09-15,180.347,78.9741
2025-09-16,176.8845,78.3152
2025-09-17,177.0973,78.6646
2025-09-18,177.7921,78.4838
2025-09-19,174.2907,77.8511
2025-09-22,175.7414,78.3717
